
1., Hindi translation of notification regarding Rajasthan Registration (Licensing of Document Writers) Rules, 2025, 12-Mar-2025, https://finance.rajasthan.gov.in/PDFDOCS/TAX/IGRS/14346.pdf
2., Announcements made by Hon’ble Chief Minister on Appropriation Bill Reply (12.03.2025), 12-Mar-2025, https://finance.rajasthan.gov.in/PDFDOCS/NEWSINFO/AppropriationReply12Mar2025_14347.pdf
3., Order Regarding Additional Allowance @5% of the Basic Pension/Family Pension to the Retired Judicial Officers/Family Pensioners, 10-Mar-2025, https://finance.rajasthan.gov.in/PDFDOCS/RULES/14341.pdf
4., Order regarding MACP, 10-Mar-2025, https://finance.rajasthan.gov.in/PDFDOCS/RULES/14342.pdf
5., Authorization of Supplementary Demands for 2024-25, 10-Mar-2025, https://finance.rajasthan.gov.in/PDFDOCS/BUDGET/14343.pdf
6., Online Training of Inventory Management System on 12.03.2025, 10-Mar-2025, https://finance.rajasthan.gov.in/PDFDOCS/TA/14344.pdf
7., Performance Audit Report of CAG on Public Health Infrastructure and Management of Health Services in Rajasthan, 10-Mar-2025, https://finance.rajasthan.gov.in/PDFDOCS/BUDGET/14345.pdf
8., Guidelines regarding e- Payments on 31March, 2025, 07-Mar-2025, https://finance.rajasthan.gov.in/PDFDOCS/TA/14340.pdf
9., Instructions regarding fund flow management under Centrally Sponsored Schemes (SNA/ SNA SPARSH) and State Schemes, 06-Mar-2025, https://finance.rajasthan.gov.in/PDFDOCS/WM/14337.pdf
10., Amendment in item 19 of GF&AR Part-III (regarding Direct Procurement from PSUs), 06-Mar-2025, https://finance.rajasthan.gov.in/PDFDOCS/FR/14338.pdf
11., Excess-Saving 2024-25, 06-Mar-2025, https://finance.rajasthan.gov.in/PDFDOCS/BUDGET/14339.pdf
12., Vendor Registration Process for Third Party Payment, 05-Mar-2025, https://finance.rajasthan.gov.in/PDFDOCS/TA/14334.pdf
13., Settlement of return of unspent balance to Consolidated Fund of India by SNA, 05-Mar-2025, https://finance.rajasthan.gov.in/PDFDOCS/WM/14335.pdf
14., Relieving/Joining instructions for RAcS Officers, 05-Mar-2025, https://finance.rajasthan.gov.in/PDFDOCS/REVENUE/14336.pdf
15., APO order of Tarun Kumar Pandey, CTO, 04-Mar-2025, https://finance.rajasthan.gov.in/PDFDOCS/TAX/CCT/14332.pdf
16., Additional Charge Order of RAcS Officers, 04-Mar-2025, https://finance.rajasthan.gov.in/PDFDOCS/REVENUE/14333.pdf
17., Online Training regarding Inventory Management System (IMS), 03-Mar-2025, https://finance.rajasthan.gov.in/PDFDOCS/TA/14331.pdf
18., Promotion order of SIPF Officer, 28-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/SIPF/14330.pdf
19., Seeks to bring Rules 2, 23, 26, 31, 36, 37 (ii) of notification no. F.12(1)FD/Tax/2024-88 dated 19.07.2024 and Rule 2 of notification no. F.12(1)FD/Tax/2024-93 dated 27.09.2024 into force, 27-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/TAX/GST/14327.pdf
20., Amendment of item 18(1) of Part-III of GF&AR (Hiring of Consultancy Services), 27-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/FR/14328.pdf
21., Announcements made by Hon'ble Deputy Chief Minister (Finance) on reply to General Debate on Budget 2025-2026 (27.02.2025), 27-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/NEWSINFO/BudgetDebateReply27Feb2025_14329.pdf
22., Submission of Replies/Comments to the grants included in The Appropriation and Finance Accounts for the year 2023-24, 25-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/AUDIT/14325.pdf
23., Retirement Order of RAcS Officers for FY 2025-26, 25-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/REVENUE/14326.pdf
24., Finance & Appropriation Accounts for the year 2023-24, 21-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/BUDGET/14324.pdf
25., Notification under sub-section (1) of section (9) of the Rajasthan Stamp Act, 1998 regarding remission of stamp duty on the instrument of developed land allotted to land owner in lieu of acquisition of his land by Govt. or any State Enterprises or Authority, 19-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/TAX/IGRS/14317.pdf
26., Notification under sub-section (1) of section (9) of the Rajasthan Stamp Act, 1998 regarding remission of stamp duty on the instruments executed for sanctioning loan under the Rajasthan Cooperative Gopal Credit Card Loan Scheme, 19-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/TAX/IGRS/14318.pdf
27., Notification under sub-section (1) of section (9) of the Rajasthan Stamp Act, 1998 regarding reduction of stamp duty on the instrument of conveyance of the immovable property of value upto rupees fifty lac executed in favour of wife and husband jointly, 19-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/TAX/IGRS/14319.pdf
28., Notification under section 9-A of the Rajasthan Stamp Act, 1998 regarding Amnesty Scheme for exemption of interest and penalty payable on stamp duty, 19-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/TAX/IGRS/14320.pdf
29., Notification under sub-section (1) of section (9) of the Rajasthan Stamp Act, 1998 regarding reduction of stamp duty on sale, lease or sublease under RIPS-2024, 19-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/TAX/IGRS/14321.pdf
30., Notification regarding Amnesty Scheme, 2025 for repealed Acts, 19-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/TAX/CCT/14322.pdf
31., Regarding separation from SIPF (Sh. Motaram Meena), 18-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/SIPF/14323.pdf
32., Fixation Order of RAcS Batch (2021), 18-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/REVENUE/14315.pdf
33., Online Reconciliation Training on 27 and 28 Feb 2025, 18-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/TA/14316.pdf
34., Addendum (Amendment) in List of authorized banks for SNA in continuation of Finance (W&M) circular F.15(05)WM/2012/Part dated 20.02.2024, 11-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/WM/14314.pdf
35., Promotion order of deferred DPC of Assistant Commercial Tax Officers, Sh. Vivekanand Aray and Smt. Renu Sharma, 10-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/TAX/CCT/14312.pdf
36., Order regarding Outdoor and Indoor Treatment under RGHS, 10-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/RULES/14313.pdf
37., Declaration of holiday under NI Act on 14.02.2025 (Bye Election Panchayati Raj Area), 06-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/WM/14309.pdf
38., Retirement Order of SIPF Officers (2025-26), 06-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/SIPF/14311.pdf
39., Notification regarding waiver of the late fees, 06-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/TAX/GST/14306.pdf
40., Seeks to amend Rajasthan Goods and Service Tax Rules, 2017, 06-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/TAX/GST/14307.pdf
41., Dry Day Order for Panchayati Raj Bye Election, 2025, 05-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/EXCISE/14310.pdf
42., Amendment in Appendix-8 of Part I of GF&AR (Existing Entry 115, 125 and 137 Deleted), 03-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/FR/14301.pdf
43., Procedural Guidelines of Rajasthan Investment Promotion Scheme-2024 (RIPS-2024), 03-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/TAX/CCT/RIPS2024_14302.pdf
44., Regarding Reconciliation of Accounts (Receipts and Expenditure) with Accountant General Rajasthan, Jaipur on ORS Module, 03-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/BUDGET/14303.pdf
45., Implementation of Integrated Tax Management System, 03-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/FR/14304.pdf
46., Headquarter Change of Sh. Pradeep Kumar Yadav, ACTO, 03-Feb-2025, https://finance.rajasthan.gov.in/PDFDOCS/TAX/CCT/14305.pdf
47., Online Training Programme for Technical Sanction Process in IFMS 3.0, 31-Jan-2025, https://finance.rajasthan.gov.in/PDFDOCS/TA/14300.pdf
48., Authorization of Revised Estimates 2024-25 in IFMS, 30-Jan-2025, https://finance.rajasthan.gov.in/PDFDOCS/BUDGET/14294.pdf
